Timestamp	Store Walk Date	Store Location	Month/Year	Store + Month	Parking Lot Cleanliness #	Yard/Landscaping	Electronic Sign	Outdoor Merchandising	Safety	Curb Appeal Notes	Entry - First Look	Checkout Area	Helpful Hub	Paint Desk/Paint Mixing Areas	Floors	Bathrooms	Store Cleanliness Notes	Old Pegs/Price Tags	Excessive Outs	Location/Peg Hook Maintenance	Back Stock Pulled	Base Deck Clean	Endcap Headers Displayed	Area(s) Needing Attention	Shelf Maintenance Notes	Clean and Organized	Fire Lanes Clear	Order Rec/Stocked 24hrs	Cardboard/Trash Removed	Backroom/Warehouse Notes	Aisles Clear of Totes/Ladders	No Safety Violations	Safety Notes	Final Notes	Curb Appeal Photos	Store Cleanliness Photos	Shelf Maintenance Photos	Backroom/Warehouse Photos	Safety Photos	Additional Photos	Store Walk Date	Email Address	Notes	Year + Store
9/6/2022 17:31:25	2/21/2022	Ridgeway	2 2022	Ridgeway 2 2022	4	5	1	1	4	Plastic off skids; restock mulch; slides need to be changed; t-post w/ signage - outdoor lights; clean broken skids	4	5	4	5	5	5	Entry is clean but needs pricing; too many things cluttered up on the desk; consider using floor cleaner but looks good overall; very clean (employee bathroom a little rough)	 1	4	1	4	4	1	Backroom	 Multiple price issues & SC20/21dead hooks; be sure to check seasonal sections; dead hooks; work on electrical; continue working on items in hardware; no endcap headers	  1	1	1	4	RED - ASPECTS NEED ADDRESSING	 4	1		"~ Reprice plumbing brass, water filters, electrical plugs (anything plastic); & cord repair items 
~ Continue shooting outs. Every week 
~ Garage Door. Follow up today & text me the results
~ Storage Solutions - brainstorm how he can store items and keep a clean backroom 
~ Stihl boxes need to be worked up and off the floor. DO NOT STORE ANY STIHL OUTSIDE!"							2/21/2022	nwace.regional@gmail.com		2022 Ridgeway
9/6/2022 17:14:30	3/28/2022	Ridgeway	3 2022	Ridgeway 3 2022	4	5	5	4	4	Amish furniture needs organized - difficult to navigate; pricing on pallets - good - utilize t-posts or signs	5	5	4	4	5	1	Very nice- great first look; checkout area well merchandised & clean; make sure to keep HH clear of stock; purge paint machine daily; bathrooms need cleaning, stocking - utilize bathroom cleaning chart	 1	1	4	4	4	5	L & G - got mouse killer off floor of L& G; last aisle; plumbing	All L & G, Scotts, grass seed needs to be done immediately; need to shoot outs every single week - notes; stock in aisles needs to be worked up; PTA; get ready for spring endcaps	1	5	1	5	can't find anything; orders are still in floor from February	4	5	totes out of aisles	 "~ 0 outs shot week 3/14 - 3/20, 3/21 - 3/28 - 7 shots for the week
~ Office is messy, disorganized and no copier paper, don't fall into the trap from last year -- keep it clean! 
~ Stock in the floor - plumbing tote has been here since 2/5/2022 - stock needs to be up after 1 week - backstock needs to be worked up or stored and labeled on the aisle "							3/28/2022	nwace.regional@gmail.com		2022 Ridgeway
9/6/2022 17:53:39	7/6/2022	Ridgeway	7 2022	Ridgeway 7 2022	4	4	5	5	5	weed around furniture	5	3	2	3	1	2	Good first look; no candy; hub is messy; pint cans and trash overflowing in paint area; piles of trash in the floor; grass seed; bolts; sink, floor, and walls need wipe down	1	3	2	3	5	1	Office is super gross; Break room is a disaster	Copper fittings; L&G; Tools; Closeout tags all need addressing	 3	3	3	3	Lots of pallets in floor; dumpsters overflowing	5	5		"~ Clean breakroom & office
~ Concentrate on closeout tags
~ Closeout dog food "							7/6/2022	nwace.regional@gmail.com		2022 Ridgeway
9/6/2022 17:59:42	2/18/2022	Vinton	2 2022	Vinton 2 2022	3	5	3	3	5	Trash along fence; slides are stale; missing prices; plastic on pallets	5	5	1	3	5	5	Great first look; clean register 3; HH is a mess; paint needs to be cleared; mop bathroom floors	 3	5	2	5	5	5	Finish your projects but overall store looks good	L&G and grills have yellow tags; relocate moved items	5	5	5	5		5	5									2/18/2022	nwace.regional@gmail.com		2022 Vinton
9/6/2022 18:04:00	5/7/2022	Vinton	5 2022	Vinton 5 2022	1	5	5	5	3	Fix the water meter bollard; side lot and back lot very trashy	5	3	3	5	5	5	Love grill area; keep register 3 clear, nice bathrooms!	 3	5	5	5	5	3			5	5	5	5	Very nice!	5	5		"~ Outside areas need addressing 
~ Transfer all steps to Ridgeway
~ Reload pallet rack so that there are no additional spaces"							5/7/2022	nwace.regional@gmail.com		2022 Vinton
9/6/2022 18:07:22	9/6/2022	Vinton	9 2022	Vinton 9 2022	5	5	3	3	3	Soil rack need attention; slides need to be changed; mums look good	5	5	5	5	3	5	Get floors scheduled	5	1	5	5	5	5	Stihl Accessories - too many outs		 5	5	5	5		5	5		Stihl Accessories make up 40% margin; plumbing needs to be manned at all times; Great job keeping feed in stock							 9/6/2022	nwace.regional@gmail.com		2022 Vinton
9/7/2022 8:56:30	5/6/2022	Hollins	5 2022	Hollins 5 2022	3	5	5	3	4	Back & front lot of propane still need work; good sign rotation; pricing is weak and low/out of certain mulch; sweep steps to straw for safety	2	5	5	3	3	3	Entry - send all closeouts to Williamson & Vinton - each item is $1.00; try to maintain clean paint desk; floor is swept okay but is dirty; cleaning lady isn't wiping down walls in bathrooms	 1	3	2	1	1	1	Back corner of L&G; front corners of plumbing?	 Keep shooting price tags; excessive outs are better but try to do twice a week; location - 30-40 had locations but they were stocked wrong; back stock is difficult because shelf doesn't accept case packs; plumbing is very bad (brass fittings, though much better than last week; Endcaps- May is upon us	1	1	1	3	Warehouse not clean and organized- how can we fix this?; stock was in the way temporarily of fire lanes; dumpster was full	5	3	Keep fire lanes clear	"~ We're still struggling to get stock out in 24 hours. Huge truck today, but there was still stock in totes from March in receiving. 
~ Outside around dumpster looks very bad - I ran out of time to finish dumpster space clean up 
~ Pricing is still a struggle, but remaining focused is the right key

** Triage Order is this: 
1.) Safety
2.) Customer Service 
3.) Stock
4.) Price Changes
5.) Everything else

I'll be back Monday "							5/6/2022	nwace.regional@gmail.com		2022 Hollins
9/7/2022 9:05:34	7/9/2022	Hollins	7 2022	Hollins 7 2022	3	3	5	5	5	Trim trees by electronic sign; good pricing on outdoor merchandise; remove plastic wrap	 5	5	3	3	3	3	Entry is clean and neat, merchandised - Hookery rack?; checkout area - great; Paint Desk is HH - much better but be sure to keep void of clutter; dust and mop as often as possible; back bathroom could use some attention	3	1	5	3	5	5	Grills - where are BGEs?	 Less Old pegs/price tags, but focus on closeouts; Excessive outs- flashlights, power tool accessories, BGE; locations are much better; back stock- stay on top of Stihl	1	5	3	5	Warehouse is better but not great; work on order oday	5	5									7/9/2022	nwace.regional@gmail.com		2022 Hollins
9/12/2022 11:15:34	9/8/2022	Hollins	9 2022	Hollins 9 2022	3	1	3	2	5	PALLET GOODS NEED SOME CLEANUP; AMISH IS COVERED BY GRASS; SIGN PANLES ARE DISCOLORED; PLASTIC ON PALLETS (SALT, CORN, SEED)	5	5	5	4	4	5	WET FLOOR SIGNS NEED TO BE OUT WHEN RAINING OR SNOWING; PAINT DESK NEEDS A LITTLE STRAIGHTENING UP;  FIRST LOOK WHEN ENTERING LOOKS GREAT EXCEPT TOYS.	5	4	5	5	5	1	LOTS OF OUTS IN STIHL -- PULL FROM OTHER STORES;	 NO ENDCAP HEADER SIGNS OR STICKERS WERE OUT.	5	5	5	5	BEST I'VE EVER SEEN IT! GREAT WORK.	 5	4	WET FLOOR SIGNS NEED TO BE USED WHEN RAINING	 GREAT WORK ON GETTING YOUR STORE BETTER AND BETTER.  SALES UP, INVENTORY STABLE, AND MERCHANDISING IS LOOKING GREAT INSIDE THE STORE.  NEEDS A LITTLE CURB APPEAL BUT OVERALL A VERY SOLID STORE.							9/8/2022	NWACE.REGIONAL@GMAIL.COM		2022 Hollins
9/12/2022 11:23:55	7/2/2022	Blackstone	7 2022	Blackstone 7 2022	5	5	4	5	5	Too many slides on the sign; limit yourself to 6; outside of the store looks great	5	5	5	5	3	4	Store looks great when you enter; Floors are little rough -- quote to get them done; Bathrooms need soap dispensers hung on the wall.	4	5	3	5	4	5	plumbing needs some shelf maintenance as well as spray paint; lots of stuff in the wrong spot	Locations on are still screwed up from the initial set; May need to relocate entire sections.	 5	5	5	5	Wonderful work	5	5	be sure to use Wet Floors signs during rain, snow, or ice.								7/2/2022	nwace.regional@gmail.com		2022 Blackstone
9/12/2022 11:30:28	8/23/2022	Blackstone	8 2022	Blackstone 8 2022	5	5	5	5	5	Store looks amazing	5	5	5	5	3	4	All three registers and Gun Counter are clear and ready for business; Floors need some attentions -- quote;  Customer bathroom is leaking when you hold down the flush handle; Soap dispensers need to be hung on the wall -- please order them	5	5	4	5	5	5	Store is looking great!	Really need to work on correcting locations on the items in the back of the store and on tool aisle.	 5	5	5	5	Fantastic work.  Across the street needs some pallets thrown out or disposed of.	5	5	great work	Store looks great.  Keep up the good work							8/23/2022	nwace.regional@gmail.com		2022 Blackstone
9/15/2022 13:00:28	9/15/2022	Blackstone	9 2022	Blackstone 9 2022	3	4	4	4	5	Firewood needs to be out of the weather; slides on signs should promote items relevant to the season; keep working to clean up old pallets across the street.	 3	4	5	5	4	4	Your front grill area is blocked by floor displays; too many displays creating a hall of path which feels tight; registers are clean but feel tight; countertop displays are a little excessive.	5	5	5	5	5	5	Focus on up front and cross merchandising	 Keep working on stocking the shelves correctly and shooting outs; great work overall.	 5	5	5	5	Fantastic job.	5	5	Be sure to use wet floor signs when needed	Great work getting your store in orders.							9/15/2022	nwace.regional@gmail.com		2022 Blackstone
10/4/2022 9:54:00	10/4/2022	Christiansburg	10 2022	Christiansburg 10 2022	5	4	5	5	4	Too many pallets; clothes rack getting rusted out back,	 2	5	5	2	3	5	Paint mixing area is bad. Floor has mistints; impulse is not shop-able; bathrooms are great	1	1	1	5	5	5	Price tags! 17/50 price tags we scanned showed the wrong price.	 Pricing and outs are excessive. Outs could be a result of missing orders from inventory counts but need to be addressed ASAP	 4	5	5	5	Great improvements!	5	5		Refer to the site Audit for more information but the best opportunities are in shelf maintenance and merchandising.  Focus hard on getting these addressed this month.							 10/4/2022	nwacs.regional@gmail.com		2022 Christiansburg
10/6/2022 10:41:29	10/6/2022	Ridgeway	10 2022	Ridgeway 10 2022	3	2	3	2	5	Trash and debris in lot next to sidewalk; Amish furniture tipped over and messy; grass outside needs to be cut;  mulch needs to be restocked; removed shrink wrap from Amish in lot if it’s not going to be transferred; need pricing on items; birdseed needs to be restocked; don’t let it get rained on.	4	5	4	3	4	1	Entry and Impulse looks pretty good but remember that less is more sometimes; keep it fresh and shop-able for customers; helpful hub is a little messy but not awful; paint desk needs some attention; bathrooms look like they haven’t been cleaned in a month. Toilets and mirrors needs to be wiped down; tissue needs to be replace; bathroom floors need to be mopped or cleaned badly.	4	5	4	4	4	5	Most of the pricing was up to date and locations were in place for empty tags; plumbing has a lot of pricing changes that got missed primarily in the valves. New price changes will drop in this week for other plumbing items;  update any missing or old tags; WE HAVE TO SHOOT OUTS THIS WEEK!	We aren’t graded in shooting outs in this eval but if we were we would get an F. Shooting outs isn’t just how we keep stock on the shelves but also how we find shortages from warehouse and make those claims. Shoot outs this week.	1	1	2	1	Back room is horrible. Get all the excess grills transferred to Blackstone next week and pull them as needed. Trash must be taken out daily; throwing trash on the floor is unacceptable and lazy; warehouse orders should be stocked within 24 hours of receipt.	 4	5		Front of the store looks good and average basket size is increasing, but the deeper you go the worse the store begins to look and feel. We have too much stuff and it feels like no plan in place to deal with it; focus on cleaning and preparing for inventory but not at the expense of customer service; it may take some late nights or early mornings so prepare your staff and work accordingly.							 10/6/2022	nwace.regional@gmail.com		2022 Ridgeway
10/5/2022 11:30:07	10/5/2022	Vinton	10 2022	Vinton 10 2022	4	5	3	4	5	Sign slides need to be updated at least once per week: 4-6 slides 3-5 seconds per slide, no more than 3 lines of text; lower lot near fence is looking rough.	5	4	5	5	5	5	Third register was unusable today; impulse could use some refreshing; hub and desk look great! Floors look awesome	4	3	4	5	5	5	Power Tool accessories and blades need a little work; Lost a sale on Stihl Battery Unit — try to pull from other stores if you’re out;	 Old tags and prices can be addressed when shooting outs but we also need to focus on claims from warehouse while doing this as well.	 5	5	5	4	Every Trashcan was full or overflowing when I opened the store; best practice is to try and take the trash out at night when it’s slow	5	5		Good work overall especially a week after inventory, but we need to focus on getting ready for Christmas and getting our store restocked; lots of outs that we found because of inventory that need to be addressed.							10/5/2022	nwace.regional@gmail.com		2022 Vinton
10/5/2022 16:24:19	10/5/2022	Salem	10 2022	Salem 10 2022	4	4	5	4	5	Cigarette butts in lot, spinners look sloppy/random, pricing on furniture would look nice	5	5	3	3	4	4	Need to get over the hump on the paint desk mess. Stock and mistints make it look junky. Hub is similar.	 4	5	5	5	5	5		Good job!	3	4	5	4	Caught it on a heavy third party truck day so seemed messier than normal.	 5	5									10/5/2022	nwace.chrisadams@gmail.com		2022 Salem
10/8/2022 10:56:38	10/8/2022	Blackstone	10 2022	Blackstone 10 2022	5	5	4	4	5	Limit your sign to 6 slides, 3-5 seconds each, and 3 lines of text max.  Outdoor space looks good overall.	  5	5	5	5	4	5	Great first look; love the seasonal rotation on impulse and on the power aisle headed towards sporting goods; floors are clean and swept; bathrooms are in great shape. Great work in this area.	3	5	5	5	5	5	We still have some old price tags that need updating.	Overall, not bad, but random scans showed 9/50 items with incorrect pricing; get these corrected asap and continue to replace old price tags as needed that may have been missed by last price file updates; many of these are from a price change file that hasn’t come down yet but the others are all from a file on 7/10	 5	5	5	5	Great work! Wonderful.	5	5		Great work overall at the store. So proud of this store. Traffic is a little lower compared to last year but remember we’re up against a grand opening. Keep grinding and keep up all the hard work.			 https://drive.google.com/open?id=1CaNtYCiAAVy53ALrlGDQH7MQokYqZUoc, https://drive.google.com/open?id=183UiKILsPBD34Yo4tSrm8RgUVujF1FH9, https://drive.google.com/open?id=11Z6vdbg04TppYPAxlrbFj8-uXhavVdVR, https://drive.google.com/open?id=1x4WjjEaTKaUNq1bnBCzAFhRJpgieIFlu, https://drive.google.com/open?id=1slqerdNxm8eWMpui73ugMhL-0nEjJTqQ				10/8/2022	nwace.regional@gmail.com		2022 Blackstone
10/5/2022 13:22:22	10/5/2022	Clifton	10 2022	Clifton 10 2022	4	4	4	3	3	Need Pricing on Amish	3	4	4	4	2	4	Cluttered Floor Displays	3	4	2	2	4	4	Need New Tags throughout; Older Tags won't scan		1	2	3	1	We need to rethink the whole warehouse space	1	4	Totes stacked in Paint; Issues throughout front; Stock mixed in								10/5/2022	nwace.chrisadams@gmail.com		2022 Clifton
10/19/2022 13:22:22	10/19/2022	Dublin	10 2022	Dublin 10 2022	3	5	4	4	2	Swing Frame and Furniture needs some attention from a safety standpoint; Electronic Sign slides are hard to read (simply southern slide); Busted bags of rock everywhere;	4	3	5	5	5	4	Third Register is un-usable; Checkout area and impulse has lots of outs;  Closeout merchandise shouldn't be in the impulse area; Landing area feels tight when entering the store; Awesome paint mixing area and helpful hub	5	2	5	4	5	5	Lots of outs -- shelf maintenance issue; Pricing and Locations are correct on 46/50 items.  Great work! Header signs are not up but that's because they're unavailable.		5	5	1	5	Truck to Floor in 24 is best practice;  Lots of stock still needs to be put away.	4	4	Opti's and Totes in floor because of truck day;  No Authorized Personell sign or Employee Only sign on the straw trailer.	Store Looks great overall; Prep for Inventory is going well.  Keep it up.  This is for informational purposes only.							10/19/2022	nwace.regional@gmail.com		2022 Dublin
10/10/2022 11:00:58	10/10/2022	Hollins	10 2022	Hollins 10 2022	4	4	5	3	5	Move some Amish closer to the road. Need some prices on metal decor outside. P	 4	5	4	4	4	4	Entry looks good; registers clear; helpful hub (in front of the hub) feels disorganized and has a mix of eclectic products.  Paint desk is mostly clear; bathrooms are fairly clean but need a wipe down on the walls and trash removed.	 4	4	5	5	4	5		Much better shelf maintenance. Even the stihl is stocked! A few outs that are showing product and a few price change issues but only 4/50.	 4	5	5	5	Lots of Christmas to put out but overall still very good.	 5	5	Great work	Store feels like it’s really coming along. Great work.							10/10/2022	nwace.regional@gmail.com		2022 Hollins
10/14/2022 8:00:19	10/11/2022	Morganton	10 2022	Morganton 10 2022	3	5	5	4	5	Needs pallets cleared from propane area. Potting soils empty,  need filled.	4	5	5	5	5	5	Putting up Christmas in main aisle so boxes eveywhere.	5	5	5	5	5	1	Endcap signs not installed for the month. Had just received before I got there. We need to do a better job getting them there by the first of the month.		5	5	5	5	Truck day, but in great shape.	5	5	We need to get concrete steps for trailers.	We need to deal with NOP,  talk to vance for plan of action.							10/11/2022	Nwncregionaltc@gmail.com		2022 Morganton
10/16/2022 11:01:52	10/16/2022	Winston Salem	10 2022	Winston Salem 10 2022	5	5	5	4	5	Very well stocked.	5	5	4	4	5	4	Aisle 25 , 28, 30 boxes in aisle	4	5	4	4	4	4	Power tool accessories base deck, power tools,  grass seed.		4	5	4	5	Clean and ready for truck tomorrow.	 5	5	No safety issues	Store looks good.							10/16/2022	Nwncregionaltc@gmail.com		2022 Winston Salem
11/4/2022 14:46:01	11/3/2022	Blackstone	11 2022	Blackstone 11 2022	5	5	5	5	5		5	5	5	4	3	4		5	5	5	5	5	5			5	5	5	5		5	5									11/3/2022	nwace.regional@gmail.com		2022 Blackstone
11/5/2022 13:39:06	11/5/2022	Ridgeway	11 2022	Ridgeway 11 2022	3	5	3	4	1	Pallets strewn about, mulch tipping over, bust skids I’m the side of the building, lime pallets destroyed and un-sellable as-is. Amish looks much better and grass as well. Continue to kill weeds in the islands and clean up but the mulch is a safety hazard.	 3	4	4	5	4	1	Entry has closeout items where the knife table needs to go: have it ready for Tom by Wednesday. Floor stacks are too tall and limit visibly from the register as well as a customer’s visibility to the power aisle. Customer Bathrooms MUST BE CLEANED TWICE PER WEEK! No exceptions. Refer to the bathroom cleaning checklist for areas that need attention.	 1	1	3	1	4	5	Plumbing, electrical, tools, and Hardware need to have their dead peg hooks pulls and areas tightened up and merchandised.	Old tags in electrical from 2019 need to be updated as well as plumbing (toilet repair, stems, thin wall PVC). Hundreds of outs but new PIP process should help address that. Goal is from Truck to Floor in 24 hours so all stock in the back room that is not on the floor needs to be worked out (grills, stihl, seasonal, and  bulk goods are all that should be stocked in receiving).	 3	2	1	4	Warehouse is better than last time but it still needs attention. Order was stocked in 24 hours but there are still orders from May that need to be worked up onto the sales floor. Fire lane has merchandise in the aisle. Trash cans are empty but there are loads of trash that still need to be disposed of. Every week, walk through your warehouse With your employees and work out merchandise.	 3	4	Totes and boxes in the floor on bolt aisle. Glass leaning against pallet rack on sales floor, carts with merchandise on it and more totes in floor on mailbox aisle.	Lots of areas that can be improved upon. While your up front area and decor is very good, it’s time to focus our efforts into running a successful retail hardware store now.  We need to address all of the issues and attempt to correct them as quickly as possible to prepare for Black Friday and Christmas open house. Burn the midnight oil if you have to and call if you have any questions.							 11/5/2022	nwace.regional@gmail.com		2022 Ridgeway
11/8/2022 12:19:37	11/8/2022	Hickory	11 2022	Hickory 11 2022	4	5	5	4	4		5	5	5	4	4	4	Open drink at Hub and floors need stripped and waxed.	5	4	4	5	5	4	Change aisle 25 endcap		4	5	5	5		5	5		Recently remodeled,  store in Great shape!							11/8/2022	Nwncregionaltc@gmail.com		2022 Hickory
11/9/2022 13:06:20	11/9/2022	Morganton	11 2022	Morganton 11 2022	4	4	5	4	4	Working on moving furniture from road to complete left front display.	5	5	4	4	5	5	Excess paint on paint Hub	5	4	4	4	4	5	Aisle 6 base deck	Yeti price labels, impulse price labels	4	5	5	5	Warehouse receding area clean.	4	4	Aisle 18,19,23 boxes in floor.	 Overall store looks great!							11/9/2022	Nwncregionaltc@gmail.com		2022 Morganton
